"CastID","CastFilmID","CastActorID","CastCharacterName"
"1","33","1","Ray Ferrier"
"2","1","2","Dr. Alan Grant"
"3","1","3","Dr. Ellie Sattler"
"4","1","4","Dr. Ian Malcolm"
"5","1","5","John Hammond"
"6","1","6","Ray Arnold"
"7","2","7","Peter Parker"
"8","2","8","Norman Osborn"
"9","2","9","Mary Jane Watson"
"10","3","10","Ann Darrow"
"11","3","11","Carl Denham"
"12","3","12","Jack Driscoll"
"13","3","13","Kong"
"14","5","14","Clark Kent"
"15","5","15","Lois Lane"
"16","5","16","Lex Luthor"
"17","6","17","Jack Dawson"
"18","6","18","Rose DeWitt Bukater"
"19","6","19","Caledon 'Cal' Hockley"
"20","6","20","Brock Lovett"
"21","7","21","Evan Baxter"
"22","7","22","God"
"23","8","23","Mariner"
"24","8","24","Deacon"
"25","8","11","Pilot"
"26","9","25","Captain Rafe McCawley"
"27","9","26","Captain Danny Walker"
"28","9","27","Nurse Lt. Evelyn Johnson"
"29","9","28","Petty Officer Doris Miller"
"30","9","29","President Franklin Delano Roosevelt"
"31","9","30","Lt. Col. James Doolittle"
"32","9","31","Sgt. Earl Sistern"
"33","9","32","Captain Thurman"
"34","10","33","Sam Witwicky"
"35","10","37","Mikaela Banes"
"36","10","29","Defense Secretary John Keller"
"37","10","34","Agent Simmons"
"38","10","35","Optimus Prime"
"39","10","36","Megatron"
"40","11","38","Harry Potter"
"41","11","39","Lord Voldemort"
"42","11","40","Alastor 'Mad-Eye' Moody"
"43","11","41","Sirius Black"
"44","11","47","Hermione Granger"
"45","11","48","Ron Weasley"
"46","11","42","Albus Dumbledore"
"47","11","43","Severus Snape"
"48","11","44","Sybil Trelawney"
"49","11","45","Bellatrix Lestrange"
"50","11","46","Rubeus Hagrid"
"51","12","49","Wealthow"
"52","12","50","Hrothgar"
"53","12","51","Unferth"
"54","12","52","Beowulf"
"55","12","40","Wiglaf"
"56","12","53","Grendel's Mother"
"57","7","54","Congressman Long"
"58","13","55","Barry B. Benson"
"59","13","56","Vanessa Bloome"
"60","13","57","Adam Flayman"
"61","13","54","Layton T. Montgomery"
"62","13","58","Mooseblood"
"63","13","59","Ray Liotta"
"64","13","60","Lou Lo Duca"
"65","14","61","Captain Jack Sparrow"
"66","14","62","Captain Barbossa"
"67","14","63","Will Turner"
"68","14","64","Elizabeth Swann"
"69","14","65","Davy Jones"
"70","14","66","Governor Weatherby Swann"
"71","14","67","'Bootstrap' Bill Turner"
"72","15","68","Robert Neville"
"73","15","44","Dr. Alice Krippin"
"74","16","69","Remy"
